Periodo,DemandakW,Kilos exportados,Precio en promocion ,Pedidos semolas de trigo,Pedidos Harina de trigo,Venta unitaria de pastas al interior del pais,Pedidos de mercaderia,Tabla de índices de distribución numérica de marcas de categoría fideos y pastas,Participacion en la publicidad en pastas
2022-01-01,293266.735589824,2062693.0,1.48,21297.0,524532.0,515496.0,21237.0,28.0357142857143,23.1
2022-02-01,301676.112640061,1770187.0,1.58,363993.0,524692.0,257345.0,368932.0,28.2142857142857,23.1
2022-03-01,360383.475876427,3129367.0,1.64,138434.0,254360.0,588043.0,178000.0,28.3928571428571,23.1
2022-04-01,336922.210069091,2192664.0,0.72,103099.0,93903.0,339050.0,181000.0,28.5714285714286,22.9
2022-05-01,510155.364936022,2986606.0,1.84,597000.0,315622.0,208134.0,291000.0,28.75,22.9
2022-06-01,427693.807586961,2877509.0,2.02,451503.0,170138.0,221563.0,287000.0,28.9285714285714,22.9
2022-07-01,442817.845418376,3603382.0,2.06,161567.0,247213.0,252309.0,234564.0,29.1071428571429,25.7
2022-08-01,447545.891290087,913648.0,2.1,287516.0,432484.0,190405.0,387248.0,29.2857142857143,25.7
2022-09-01,510827.249546336,2330391.0,2.12,364970.001335113,224592.0,468482.0,390549.610146862,29.4642857142857,25.7
2022-10-01,518203.052190734,2173086.0,2.22,386900.368491322,287516.0,545736.0,421413.900534045,29.6428571428571,27.8
2022-11-01,429359.683367418,1958681.0,2.16,408830.73564753,244880.539855072,359296.0,452278.190921228,29.8214285714286,27.8
2022-12-01,481759.10724277,3253615.0,1.82,430761.102803738,364026.244003308,359395.0,483142.481308411,30.0,27.8
2023-01-01,522921.569133599,2173415.0,2.1,189527.064085447,164933.232309746,367828.512820513,143635.287049399,28.0357142857143,22.1638942123419
2023-02-01,569259.031912432,2341732.0,2.18,211457.431241656,209247.088579459,366181.722610723,174499.577436582,28.2142857142857,22.6283250287467
2023-03-01,474758.487149871,2164663.0,2.12,233387.798397864,288292.537677105,364534.932400932,205363.867823765,28.3928571428571,23.0927558451514
2023-04-01,576771.839294864,1682410.0,1.94,255318.165554072,263905.463015001,362888.142191142,236228.158210948,28.5714285714286,23.5571866615562
2023-05-01,449346.252150326,2277384.0,2.0,277248.53271028,265862.272690302,361241.351981352,267092.448598131,28.75,24.0216174779609
2023-06-01,379620.797499438,3064486.0,2.16,299178.899866489,270487.264013032,359594.561771562,297956.738985314,28.9285714285714,24.4860482943657
2023-07-01,518279.513932349,2305251.0,2.12,321109.267022697,266785.281121177,357947.771561772,328821.029372497,29.1071428571429,24.9504791107704
2023-08-01,520858.435771285,2699133.0,2.34,343039.634178905,277539.247828165,356300.981351981,359685.31975968,29.2857142857143,25.4149099271752
2023-09-01,431236.234086314,2494921.60381978,2.06942213516161,364970.001335113,287823.131912004,354654.191142191,390549.610146862,29.4642857142857,25.8793407435799
2023-10-01,584276.228105636,2513476.02507614,2.0952791380999,386900.368491322,255957.882510652,353007.400932401,421413.900534045,29.6428571428571,26.3437715599847
2023-11-01,409796.450071909,2504791.06219032,2.11375747147735,408830.73564753,307983.088598735,351360.610722611,452278.190921228,29.8214285714286,26.8082023763894
2023-12-01,396697.776423551,2554356.87682915,2.12696057142836,430761.102803738,266384.29713646,349713.820512821,483142.481308411,30.0,27.2726331927942
2024-01-01,447640.689287338,2300803.12048185,2.07222396097589,189527.064085447,286723.701627789,367828.512820513,143635.287049399,28.0357142857143,22.1638942123419
2024-02-01,544604.503568877,2266918.90896728,2.09715225509377,211457.431241656,274876.484312333,366181.722610723,174499.577436582,28.2142857142857,22.6283250287467
