Periodo,Demanda de fideos,Kilos exportados,Precio en promocion,Pedidos semolas de trigo,Pedidos Harina de trigo,Venta unitaria de pastas al interior del pais,Pedidos de mercaderia,Indice de distribucion numerica,Participacion en la publicidad
2022-01,293266,2062693,1.48,21297,524532,515496,21237,28.035714286,23.1
2022-02,301676,1770187,1.58,363993,524692,257345,368932,28.214285714,23.1
2022-03,360383,3129367,1.64,138434,254360,588043,178000,28.392857143,23.1
2022-04,336922,2192664,0.72,103099,93903,339050,181000,28.571428571,22.9
2022-05,510155,2986606,1.84,597000,315622,208134,291000,28.75,22.9
2022-06,427693,2877509,2.02,451503,170138,221563,287000,28.928571429,22.9
2022-07,442817,3603382,2.06,161567,247213,252309,234564,29.107142857,25.7
2022-08,447545,913648,2.1,287516,432484,190405,387248,29.285714286,25.7
2022-09,510827,2330391,2.12,364970.001335,224592,468482,390549.610147,29.464285714,25.7
2022-10,518203,2173086,2.22,386900.368491,287516,545736,421413.900534,29.642857143,27.8
2022-11,429359,1958681,2.16,408830.735648,244880.539855,359296,452278.190921,29.821428571,27.8
2022-12,481759,3253615,1.82,430761.102804,364026.244003,359395,483142.481308,30,27.8
2023-01,522921,2173415,2.1,189527.064085,164933.23231,367828.512821,143635.287049,28.035714286,22.163894212
2023-02,569259,2341732,2.18,211457.431242,209247.088579,366181.722611,174499.577437,28.214285714,22.628325029
2023-03,474758,2164663,2.12,233387.798398,288292.537677,364534.932401,205363.867824,28.392857143,23.092755845
2023-04,576771,1682410,1.94,255318.165554,263905.463015,362888.142191,236228.158211,28.571428571,23.557186662
2023-05,449346,2277384,2,277248.53271,265862.27269,361241.351982,267092.448598,28.75,24.021617478
2023-06,419620,3064486,2.16,299178.899866,270487.264013,359594.561772,297956.738985,28.928571429,24.486048294
2023-07,588279,2305251,2.12,321109.267023,266785.281121,357947.771562,328821.029372,29.107142857,24.950479111
2023-08,650858,2699133,2.34,343039.634179,277539.247828,356300.981352,359685.31976,29.285714286,25.414909927
2023-09,764240,2494921.60382,2.069422135,364970.001335,287823.131912,354654.191142,390549.610147,29.464285714,25.879340744
2023-10,777304,2513476.025076,2.095279138,386900.368491,255957.882511,353007.400932,421413.900534,29.642857143,26.34377156
2023-11,644938,2504791.06219,2.113757471,408830.735648,307983.088599,351360.610723,452278.190921,29.821428571,26.808202376
2023-12,728938,2554356.876829,2.126960571,430761.102804,266384.297136,349713.820513,483142.481308,30,27.272633193
2024-01,757576,2300803.120482,2.072223961,189527.064085,286723.701628,367828.512821,143635.287049,28.035714286,22.163894212
2024-02,833842,2266918.908967,2.097152255,211457.431242,274876.484312,366181.722611,174499.577437,28.214285714,22.628325029
